c1,ecosystem_tenure,review_tenure,reviews,added_lines,removed_lines,no_files,sources,blocking_tenure,blocking_activity
7045,2,2,28,126,126,28,1,0,1
7046,2,2,10,90,40,10,1,0,1
7047,0,0,27,27,27,27,0,0,1
7049,5,5,6,150,0,6,0,0,1
7050,2,2,10,90,100,10,1,0,1
7051,2,2,45,180,414,45,1,0,1
7052,1,1,48,264,720,48,1,0,1
7053,0,0,12,24,0,12,1,0,1
7054,2,2,20,10,40,20,1,0,1
7055,2,2,10,30,30,10,1,0,1
7056,207,84,108,540,216,108,1,0,1
7057,1,0,12,12,0,12,0,0,1
7058,1,1,16,208,16,16,1,0,1
7059,0,0,180,252,252,180,1,0,1
7060,0,0,144,270,270,144,0,0,1
7061,1,1,126,270,270,126,1,0,1
7062,1,1,90,144,144,90,1,0,1
7063,1,1,18,36,36,18,1,0,1
7064,1,1,18,18,18,18,1,0,1
7065,1,1,30,60,60,30,1,0,1
7066,1,1,10,20,10,10,1,0,1
7067,1,1,10,20,10,10,1,0,1
7068,24,24,10,10,10,10,1,0,1
7069,1,1,10,20,30,10,1,0,1
7070,0,0,900,3700,3700,900,1,0,1
7071,0,0,30,180,180,30,0,0,1
7072,0,0,30,260,100,30,0,0,1
7073,0,0,12,12,0,12,1,0,2
7074,0,0,10,70,60,10,0,0,1
7075,3,3,10,60,0,10,0,0,1
7076,1,1,12,12,12,12,0,0,1
7077,6,1,14,154,0,14,0,1,2
7078,16,1,72,636,300,72,0,0,1
7079,1,1,12,12,12,12,0,0,1
7080,6,1,24,288,0,24,0,0,1
7081,16,1,84,768,432,84,0,0,1
7082,6,1,14,154,0,14,0,1,2
7083,0,0,20,30,200,20,1,0,1
7084,0,0,160,1330,16120,160,1,0,1
7085,0,0,18,1125456,1123602,18,0,0,1
7086,0,0,18,1125456,1123602,18,0,0,1
7087,1,1,648,53523,65754,648,0,0,1
7088,40,40,36,2172,552,36,1,0,1
7089,10,10,65,234,221,65,1,0,1
7090,0,0,12,12,0,12,1,0,1
7091,0,0,52,468,468,52,1,0,1
7092,3,3,484,2222,1320,484,1,0,1
