change_id,ecosystem_tenure,review_tenure,reviews,added_lines,removed_lines,no_files,sources,blocking_tenure,blocking_activity
1159,92,92,64,7184,0,64,0,0,1
1160,0,0,10,10,10,10,0,0,1
1161,2,2,12,12,12,12,0,0,1
1162,0,0,15,320,10,15,1,0,1
1163,0,0,52,780,325,52,1,0,1
1164,105,105,12,48,30,12,0,0,1
1165,0,0,5,15,5,5,0,0,1
1166,4,0,946,4466,4268,946,1,0,2
1167,0,0,22,22,0,22,0,0,1
1168,0,0,10,450,90,10,1,0,1
1169,0,0,10,125,35,10,1,0,1
1170,0,0,70,200,160,70,1,0,1
1171,8,8,187,1173,391,187,1,8,2
1172,0,0,5,5,5,5,1,0,1
1173,7,0,1800,101896,112,1800,0,0,1
1174,5,1,10,10,10,10,1,0,1
1175,5,0,6992,9296,8400,6992,1,0,1
1176,0,0,9,504,576,9,1,0,1
1177,0,0,234,286,702,234,1,0,1
1178,0,0,18,2742,2706,18,1,0,1
1179,0,0,42,238,28,42,0,0,4
1180,1,1,126,9758,2436,126,1,0,1
1181,0,0,14,21,7,14,0,0,1
1182,8,8,5454,251424,117180,5454,1,6,7
1183,0,0,5,10,10,5,1,0,1
1184,5,5,1260,16338,336,1260,1,0,1
1185,6,0,84,1952,68,84,1,0,1
1186,6,6,504,812,6496,504,0,0,1
1187,3,3,252,19701,2790,252,1,0,1
1188,92,92,28,28,28,28,0,0,1
1189,0,0,6,0,18,6,0,0,1
1190,1,1,39,39,39,39,0,0,1
1191,1,1,96,816,400,96,1,0,1
